iter	Passed	Remaining
0	2578	497718
1	5171	496503
2	7749	493360
3	10312	489840
4	12862	486185
5	15426	483348
6	17980	480348
7	20532	477373
8	23082	474480
9	25653	472019
10	28219	469474
11	30787	466940
12	33352	464373
13	35912	461735
14	38484	459253
15	41042	456593
16	43586	453812
17	46081	450575
18	48561	447278
19	51136	444885
20	53691	442318
21	56228	439601
22	58774	436977
23	61286	434111
24	63777	431135
25	66341	428671
26	68881	426043
27	71420	423418
28	73973	420883
29	76481	418101
30	79022	415506
31	81509	412641
32	84040	410014
33	86492	407022
34	88936	404025
35	91417	401221
36	93915	398507
37	96441	395918
38	98955	393284
39	101488	390732
40	103943	387887
41	106414	385118
42	108891	382387
43	111289	379394
44	113751	376642
45	116167	373754
46	118618	370997
47	121031	368136
48	123442	365289
49	125891	362567
50	128292	359721
51	130716	356955
52	133206	354380
53	135586	351519
54	137950	348638
55	140337	345830
56	142762	343131
57	145191	340448
58	147598	337724
59	150043	335097
60	152527	332560
61	155023	330050
62	157470	327437
63	159860	324716
64	162302	322108
65	164782	319578
66	167175	316884
67	169593	314247
68	172042	311670
69	174457	309038
70	176869	306407
71	179280	303780
72	181676	301135
73	184080	298508
74	186492	295900
75	188968	293397
76	191386	290807
77	193828	288257
78	196284	285730
79	198676	283113
80	201075	280513
81	203522	277982
82	205902	275363
83	208267	272730
84	210768	270280
85	213239	267788
86	215631	265202
87	218013	262607
88	220391	260012
89	222799	257457
90	225239	254941
91	227624	252366
92	230018	249804
93	232447	247284
94	234925	244816
95	237389	242335
96	239754	239754
97	242098	237157
98	244459	234582
99	246852	232041
100	249231	229490
101	251624	226955
102	254023	224428
103	256465	221941
104	258852	219408
105	261228	216868
106	263700	214410
107	266156	211939
108	268576	209440
109	270995	206941
110	273380	204419
111	275770	201903
112	278166	199393
113	280551	196878
114	282920	194354
115	285352	191875
116	287767	189385
117	290171	186889
118	292559	184386
119	295041	181942
120	297535	179505
121	299954	177022
122	302381	174545
123	304748	172035
124	307097	169517
125	309434	166996
126	311835	164511
127	314287	162054
128	316638	159546
129	319014	157053
130	321397	154565
131	323776	152076
132	326139	149582
133	328546	147110
134	330940	144633
135	333331	142155
136	335732	139684
137	338125	137210
138	340570	134758
139	342975	132290
140	345386	129826
141	347797	127362
142	350198	124895
143	352563	122417
144	355017	119971
145	357388	117497
146	359771	115029
147	362178	112569
148	364545	110097
149	366905	107625
150	369355	105180
151	371707	102708
152	374063	100239
153	376506	97793
154	378890	95333
155	381238	92865
156	383629	90409
157	386080	87967
158	388463	85510
159	390885	83063
160	393413	80637
161	395787	78180
162	398238	75738
163	400645	73288
164	403048	70838
165	405428	68385
166	407819	65934
167	410194	63482
168	412635	61040
169	415018	58590
170	417401	56141
171	419783	53693
172	422167	51245
173	424561	48800
174	426927	46352
175	429316	43907
176	431754	41467
177	434143	39024
178	436544	36581
179	438967	34141
180	441384	31701
181	443799	29261
182	446197	26820
183	448643	24382
184	451079	21944
185	453572	19508
186	455977	17068
187	458347	14628
188	460724	12188
189	463114	9749
190	465499	7311
191	467893	4873
192	470323	2436
193	472711	0
